seed	n_targets	mutation_prob	n_samples	dropout_prob	division	deletion	param_id	dist_method	tree_method	rf
3	200	0.02	100	0	16	FALSE	13	weighted_hamming	fastme_tree_rearrangement	0.0206185567010309
4	200	0.02	100	0	16	FALSE	14	weighted_hamming	nj	0.0721649484536082
4	200	0.02	100	0	16	FALSE	14	weighted_hamming	upgma	0.206185567010309
4	200	0.02	100	0	16	FALSE	14	weighted_hamming	fastme	0.11340206185567
4	200	0.02	100	0	16	FALSE	14	weighted_hamming	fastme_tree_rearrangement	0.0824742268041237
5	200	0.02	100	0	16	FALSE	15	weighted_hamming	nj	0.0412371134020619
5	200	0.02	100	0	16	FALSE	15	weighted_hamming	upgma	0.164948453608247
5	200	0.02	100	0	16	FALSE	15	weighted_hamming	fastme	0.0618556701030928
5	200	0.02	100	0	16	FALSE	15	weighted_hamming	fastme_tree_rearrangement	0.0206185567010309
1	50	0.04	100	0	16	FALSE	16	weighted_hamming	nj	0.463917525773196
1	50	0.04	100	0	16	FALSE	16	weighted_hamming	upgma	0.494845360824742
1	50	0.04	100	0	16	FALSE	16	weighted_hamming	fastme	0.515463917525773
1	50	0.04	100	0	16	FALSE	16	weighted_hamming	fastme_tree_rearrangement	0.443298969072165
2	50	0.04	100	0	16	FALSE	17	weighted_hamming	nj	0.43298969072165
2	50	0.04	100	0	16	FALSE	17	weighted_hamming	upgma	0.525773195876289
2	50	0.04	100	0	16	FALSE	17	weighted_hamming	fastme	0.515463917525773
2	50	0.04	100	0	16	FALSE	17	weighted_hamming	fastme_tree_rearrangement	0.443298969072165
3	50	0.04	100	0	16	FALSE	18	weighted_hamming	nj	0.288659793814433
3	50	0.04	100	0	16	FALSE	18	weighted_hamming	upgma	0.350515463917526
3	50	0.04	100	0	16	FALSE	18	weighted_hamming	fastme	0.34020618556701
3	50	0.04	100	0	16	FALSE	18	weighted_hamming	fastme_tree_rearrangement	0.22680412371134
4	50	0.04	100	0	16	FALSE	19	weighted_hamming	nj	0.319587628865979
4	50	0.04	100	0	16	FALSE	19	weighted_hamming	upgma	0.391752577319588
4	50	0.04	100	0	16	FALSE	19	weighted_hamming	fastme	0.443298969072165
4	50	0.04	100	0	16	FALSE	19	weighted_hamming	fastme_tree_rearrangement	0.329896907216495
5	50	0.04	100	0	16	FALSE	20	weighted_hamming	nj	0.237113402061856
5	50	0.04	100	0	16	FALSE	20	weighted_hamming	upgma	0.329896907216495
5	50	0.04	100	0	16	FALSE	20	weighted_hamming	fastme	0.278350515463918
5	50	0.04	100	0	16	FALSE	20	weighted_hamming	fastme_tree_rearrangement	0.237113402061856
1	100	0.04	100	0	16	FALSE	21	weighted_hamming	nj	0.22680412371134
1	100	0.04	100	0	16	FALSE	21	weighted_hamming	upgma	0.216494845360825
1	100	0.04	100	0	16	FALSE	21	weighted_hamming	fastme	0.43298969072165
1	100	0.04	100	0	16	FALSE	21	weighted_hamming	fastme_tree_rearrangement	0.216494845360825
2	100	0.04	100	0	16	FALSE	22	weighted_hamming	nj	0.154639175257732
2	100	0.04	100	0	16	FALSE	22	weighted_hamming	upgma	0.268041237113402
2	100	0.04	100	0	16	FALSE	22	weighted_hamming	fastme	0.278350515463918
2	100	0.04	100	0	16	FALSE	22	weighted_hamming	fastme_tree_rearrangement	0.164948453608247
3	100	0.04	100	0	16	FALSE	23	weighted_hamming	nj	0.0206185567010309
3	100	0.04	100	0	16	FALSE	23	weighted_hamming	upgma	0.154639175257732
3	100	0.04	100	0	16	FALSE	23	weighted_hamming	fastme	0.123711340206186
3	100	0.04	100	0	16	FALSE	23	weighted_hamming	fastme_tree_rearrangement	0.0515463917525773
4	100	0.04	100	0	16	FALSE	24	weighted_hamming	nj	0.247422680412371
4	100	0.04	100	0	16	FALSE	24	weighted_hamming	upgma	0.360824742268041
4	100	0.04	100	0	16	FALSE	24	weighted_hamming	fastme	0.381443298969072
4	100	0.04	100	0	16	FALSE	24	weighted_hamming	fastme_tree_rearrangement	0.247422680412371
5	100	0.04	100	0	16	FALSE	25	weighted_hamming	nj	0.0927835051546392
5	100	0.04	100	0	16	FALSE	25	weighted_hamming	upgma	0.11340206185567
5	100	0.04	100	0	16	FALSE	25	weighted_hamming	fastme	0.0824742268041237
5	100	0.04	100	0	16	FALSE	25	weighted_hamming	fastme_tree_rearrangement	0.0927835051546392
1	200	0.04	100	0	16	FALSE	26	weighted_hamming	nj	0.0824742268041237
1	200	0.04	100	0	16	FALSE	26	weighted_hamming	upgma	0.144329896907216
1	200	0.04	100	0	16	FALSE	26	weighted_hamming	fastme	0.185567010309278
1	200	0.04	100	0	16	FALSE	26	weighted_hamming	fastme_tree_rearrangement	0.0824742268041237
2	200	0.04	100	0	16	FALSE	27	weighted_hamming	nj	0.0927835051546392
2	200	0.04	100	0	16	FALSE	27	weighted_hamming	upgma	0.134020618556701
2	200	0.04	100	0	16	FALSE	27	weighted_hamming	fastme	0.185567010309278
2	200	0.04	100	0	16	FALSE	27	weighted_hamming	fastme_tree_rearrangement	0.11340206185567
3	200	0.04	100	0	16	FALSE	28	weighted_hamming	nj	0.0103092783505155
3	200	0.04	100	0	16	FALSE	28	weighted_hamming	upgma	0.0721649484536082
3	200	0.04	100	0	16	FALSE	28	weighted_hamming	fastme	0.0206185567010309
3	200	0.04	100	0	16	FALSE	28	weighted_hamming	fastme_tree_rearrangement	0
4	200	0.04	100	0	16	FALSE	29	weighted_hamming	nj	0.0721649484536082
4	200	0.04	100	0	16	FALSE	29	weighted_hamming	upgma	0.195876288659794
4	200	0.04	100	0	16	FALSE	29	weighted_hamming	fastme	0.144329896907216
4	200	0.04	100	0	16	FALSE	29	weighted_hamming	fastme_tree_rearrangement	0.0721649484536082
5	200	0.04	100	0	16	FALSE	30	weighted_hamming	nj	0.0103092783505155
5	200	0.04	100	0	16	FALSE	30	weighted_hamming	upgma	0.0618556701030928
5	200	0.04	100	0	16	FALSE	30	weighted_hamming	fastme	0.0309278350515464
5	200	0.04	100	0	16	FALSE	30	weighted_hamming	fastme_tree_rearrangement	0.0412371134020619
1	50	0.06	100	0	16	FALSE	31	weighted_hamming	nj	0.43298969072165
1	50	0.06	100	0	16	FALSE	31	weighted_hamming	upgma	0.494845360824742
1	50	0.06	100	0	16	FALSE	31	weighted_hamming	fastme	0.587628865979381
1	50	0.06	100	0	16	FALSE	31	weighted_hamming	fastme_tree_rearrangement	0.422680412371134
2	50	0.06	100	0	16	FALSE	32	weighted_hamming	nj	0.34020618556701
2	50	0.06	100	0	16	FALSE	32	weighted_hamming	upgma	0.422680412371134
2	50	0.06	100	0	16	FALSE	32	weighted_hamming	fastme	0.391752577319588
2	50	0.06	100	0	16	FALSE	32	weighted_hamming	fastme_tree_rearrangement	0.268041237113402
3	50	0.06	100	0	16	FALSE	33	weighted_hamming	nj	0.103092783505155
3	50	0.06	100	0	16	FALSE	33	weighted_hamming	upgma	0.216494845360825
3	50	0.06	100	0	16	FALSE	33	weighted_hamming	fastme	0.257731958762887
3	50	0.06	100	0	16	FALSE	33	weighted_hamming	fastme_tree_rearrangement	0.175257731958763
4	50	0.06	100	0	16	FALSE	34	weighted_hamming	nj	0.350515463917526
4	50	0.06	100	0	16	FALSE	34	weighted_hamming	upgma	0.298969072164948
4	50	0.06	100	0	16	FALSE	34	weighted_hamming	fastme	0.402061855670103
4	50	0.06	100	0	16	FALSE	34	weighted_hamming	fastme_tree_rearrangement	0.309278350515464
5	50	0.06	100	0	16	FALSE	35	weighted_hamming	nj	0.195876288659794
5	50	0.06	100	0	16	FALSE	35	weighted_hamming	upgma	0.298969072164948
5	50	0.06	100	0	16	FALSE	35	weighted_hamming	fastme	0.360824742268041
5	50	0.06	100	0	16	FALSE	35	weighted_hamming	fastme_tree_rearrangement	0.206185567010309
1	100	0.06	100	0	16	FALSE	36	weighted_hamming	nj	0.195876288659794
1	100	0.06	100	0	16	FALSE	36	weighted_hamming	upgma	0.206185567010309
1	100	0.06	100	0	16	FALSE	36	weighted_hamming	fastme	0.247422680412371
1	100	0.06	100	0	16	FALSE	36	weighted_hamming	fastme_tree_rearrangement	0.175257731958763
2	100	0.06	100	0	16	FALSE	37	weighted_hamming	nj	0.247422680412371
2	100	0.06	100	0	16	FALSE	37	weighted_hamming	upgma	0.319587628865979
2	100	0.06	100	0	16	FALSE	37	weighted_hamming	fastme	0.288659793814433
2	100	0.06	100	0	16	FALSE	37	weighted_hamming	fastme_tree_rearrangement	0.237113402061856
3	100	0.06	100	0	16	FALSE	38	weighted_hamming	nj	0.0515463917525773
3	100	0.06	100	0	16	FALSE	38	weighted_hamming	upgma	0.0824742268041237
3	100	0.06	100	0	16	FALSE	38	weighted_hamming	fastme	0.0824742268041237
3	100	0.06	100	0	16	FALSE	38	weighted_hamming	fastme_tree_rearrangement	0.0515463917525773
4	100	0.06	100	0	16	FALSE	39	weighted_hamming	nj	0.0309278350515464
4	100	0.06	100	0	16	FALSE	39	weighted_hamming	upgma	0.0721649484536082
4	100	0.06	100	0	16	FALSE	39	weighted_hamming	fastme	0.123711340206186
4	100	0.06	100	0	16	FALSE	39	weighted_hamming	fastme_tree_rearrangement	0.0309278350515464
5	100	0.06	100	0	16	FALSE	40	weighted_hamming	nj	0.154639175257732
5	100	0.06	100	0	16	FALSE	40	weighted_hamming	upgma	0.144329896907216
5	100	0.06	100	0	16	FALSE	40	weighted_hamming	fastme	0.123711340206186
5	100	0.06	100	0	16	FALSE	40	weighted_hamming	fastme_tree_rearrangement	0.0927835051546392
1	200	0.06	100	0	16	FALSE	41	weighted_hamming	nj	0.0515463917525773
1	200	0.06	100	0	16	FALSE	41	weighted_hamming	upgma	0.123711340206186
1	200	0.06	100	0	16	FALSE	41	weighted_hamming	fastme	0.123711340206186
1	200	0.06	100	0	16	FALSE	41	weighted_hamming	fastme_tree_rearrangement	0.0618556701030928
2	200	0.06	100	0	16	FALSE	42	weighted_hamming	nj	0.0721649484536082
2	200	0.06	100	0	16	FALSE	42	weighted_hamming	upgma	0.0927835051546392
2	200	0.06	100	0	16	FALSE	42	weighted_hamming	fastme	0.134020618556701
2	200	0.06	100	0	16	FALSE	42	weighted_hamming	fastme_tree_rearrangement	0.0618556701030928
3	200	0.06	100	0	16	FALSE	43	weighted_hamming	nj	0.0206185567010309
3	200	0.06	100	0	16	FALSE	43	weighted_hamming	upgma	0.0412371134020619
3	200	0.06	100	0	16	FALSE	43	weighted_hamming	fastme	0.0206185567010309
3	200	0.06	100	0	16	FALSE	43	weighted_hamming	fastme_tree_rearrangement	0.0206185567010309
4	200	0.06	100	0	16	FALSE	44	weighted_hamming	nj	0.0927835051546392
4	200	0.06	100	0	16	FALSE	44	weighted_hamming	upgma	0.154639175257732
4	200	0.06	100	0	16	FALSE	44	weighted_hamming	fastme	0.123711340206186
4	200	0.06	100	0	16	FALSE	44	weighted_hamming	fastme_tree_rearrangement	0.0927835051546392
5	200	0.06	100	0	16	FALSE	45	weighted_hamming	nj	0.0103092783505155
5	200	0.06	100	0	16	FALSE	45	weighted_hamming	upgma	0.0721649484536082
5	200	0.06	100	0	16	FALSE	45	weighted_hamming	fastme	0.0309278350515464
5	200	0.06	100	0	16	FALSE	45	weighted_hamming	fastme_tree_rearrangement	0.0309278350515464
1	50	0.08	100	0	16	FALSE	46	weighted_hamming	nj	0.422680412371134
1	50	0.08	100	0	16	FALSE	46	weighted_hamming	upgma	0.494845360824742
1	50	0.08	100	0	16	FALSE	46	weighted_hamming	fastme	0.505154639175258
1	50	0.08	100	0	16	FALSE	46	weighted_hamming	fastme_tree_rearrangement	0.484536082474227
2	50	0.08	100	0	16	FALSE	47	weighted_hamming	nj	0.319587628865979
2	50	0.08	100	0	16	FALSE	47	weighted_hamming	upgma	0.360824742268041
2	50	0.08	100	0	16	FALSE	47	weighted_hamming	fastme	0.360824742268041
2	50	0.08	100	0	16	FALSE	47	weighted_hamming	fastme_tree_rearrangement	0.329896907216495
3	50	0.08	100	0	16	FALSE	48	weighted_hamming	nj	0.103092783505155
3	50	0.08	100	0	16	FALSE	48	weighted_hamming	upgma	0.134020618556701
3	50	0.08	100	0	16	FALSE	48	weighted_hamming	fastme	0.206185567010309
3	50	0.08	100	0	16	FALSE	48	weighted_hamming	fastme_tree_rearrangement	0.144329896907216
4	50	0.08	100	0	16	FALSE	49	weighted_hamming	nj	0.257731958762887
4	50	0.08	100	0	16	FALSE	49	weighted_hamming	upgma	0.278350515463918
4	50	0.08	100	0	16	FALSE	49	weighted_hamming	fastme	0.360824742268041
4	50	0.08	100	0	16	FALSE	49	weighted_hamming	fastme_tree_rearrangement	0.278350515463918
5	50	0.08	100	0	16	FALSE	50	weighted_hamming	nj	0.164948453608247
5	50	0.08	100	0	16	FALSE	50	weighted_hamming	upgma	0.247422680412371
5	50	0.08	100	0	16	FALSE	50	weighted_hamming	fastme	0.278350515463918
5	50	0.08	100	0	16	FALSE	50	weighted_hamming	fastme_tree_rearrangement	0.206185567010309
1	100	0.08	100	0	16	FALSE	51	weighted_hamming	nj	0.216494845360825
1	100	0.08	100	0	16	FALSE	51	weighted_hamming	upgma	0.164948453608247
1	100	0.08	100	0	16	FALSE	51	weighted_hamming	fastme	0.371134020618557
1	100	0.08	100	0	16	FALSE	51	weighted_hamming	fastme_tree_rearrangement	0.134020618556701
2	100	0.08	100	0	16	FALSE	52	weighted_hamming	nj	0.185567010309278
2	100	0.08	100	0	16	FALSE	52	weighted_hamming	upgma	0.175257731958763
2	100	0.08	100	0	16	FALSE	52	weighted_hamming	fastme	0.237113402061856
2	100	0.08	100	0	16	FALSE	52	weighted_hamming	fastme_tree_rearrangement	0.134020618556701
3	100	0.08	100	0	16	FALSE	53	weighted_hamming	nj	0.0515463917525773
3	100	0.08	100	0	16	FALSE	53	weighted_hamming	upgma	0.0927835051546392
3	100	0.08	100	0	16	FALSE	53	weighted_hamming	fastme	0.0824742268041237
3	100	0.08	100	0	16	FALSE	53	weighted_hamming	fastme_tree_rearrangement	0.0515463917525773
4	100	0.08	100	0	16	FALSE	54	weighted_hamming	nj	0.0824742268041237
4	100	0.08	100	0	16	FALSE	54	weighted_hamming	upgma	0.0927835051546392
4	100	0.08	100	0	16	FALSE	54	weighted_hamming	fastme	0.175257731958763
4	100	0.08	100	0	16	FALSE	54	weighted_hamming	fastme_tree_rearrangement	0.0515463917525773
5	100	0.08	100	0	16	FALSE	55	weighted_hamming	nj	0.0824742268041237
5	100	0.08	100	0	16	FALSE	55	weighted_hamming	upgma	0.144329896907216
5	100	0.08	100	0	16	FALSE	55	weighted_hamming	fastme	0.123711340206186
5	100	0.08	100	0	16	FALSE	55	weighted_hamming	fastme_tree_rearrangement	0.0824742268041237
1	200	0.08	100	0	16	FALSE	56	weighted_hamming	nj	0.0927835051546392
1	200	0.08	100	0	16	FALSE	56	weighted_hamming	upgma	0.123711340206186
1	200	0.08	100	0	16	FALSE	56	weighted_hamming	fastme	0.175257731958763
1	200	0.08	100	0	16	FALSE	56	weighted_hamming	fastme_tree_rearrangement	0.11340206185567
2	200	0.08	100	0	16	FALSE	57	weighted_hamming	nj	0.0206185567010309
2	200	0.08	100	0	16	FALSE	57	weighted_hamming	upgma	0.0309278350515464
2	200	0.08	100	0	16	FALSE	57	weighted_hamming	fastme	0.0412371134020619
2	200	0.08	100	0	16	FALSE	57	weighted_hamming	fastme_tree_rearrangement	0.0206185567010309
3	200	0.08	100	0	16	FALSE	58	weighted_hamming	nj	0.0309278350515464
3	200	0.08	100	0	16	FALSE	58	weighted_hamming	upgma	0.0103092783505155
3	200	0.08	100	0	16	FALSE	58	weighted_hamming	fastme	0.0103092783505155
3	200	0.08	100	0	16	FALSE	58	weighted_hamming	fastme_tree_rearrangement	0.0412371134020619
4	200	0.08	100	0	16	FALSE	59	weighted_hamming	nj	0.0309278350515464
4	200	0.08	100	0	16	FALSE	59	weighted_hamming	upgma	0.0721649484536082
4	200	0.08	100	0	16	FALSE	59	weighted_hamming	fastme	0.0515463917525773
4	200	0.08	100	0	16	FALSE	59	weighted_hamming	fastme_tree_rearrangement	0.0309278350515464
5	200	0.08	100	0	16	FALSE	60	weighted_hamming	nj	0.0412371134020619
5	200	0.08	100	0	16	FALSE	60	weighted_hamming	upgma	0.0412371134020619
5	200	0.08	100	0	16	FALSE	60	weighted_hamming	fastme	0.0515463917525773
5	200	0.08	100	0	16	FALSE	60	weighted_hamming	fastme_tree_rearrangement	0.0103092783505155
1	50	0.1	100	0	16	FALSE	61	weighted_hamming	nj	0.34020618556701
1	50	0.1	100	0	16	FALSE	61	weighted_hamming	upgma	0.422680412371134
1	50	0.1	100	0	16	FALSE	61	weighted_hamming	fastme	0.43298969072165
1	50	0.1	100	0	16	FALSE	61	weighted_hamming	fastme_tree_rearrangement	0.319587628865979
2	50	0.1	100	0	16	FALSE	62	weighted_hamming	nj	0.247422680412371
2	50	0.1	100	0	16	FALSE	62	weighted_hamming	upgma	0.288659793814433
2	50	0.1	100	0	16	FALSE	62	weighted_hamming	fastme	0.309278350515464
2	50	0.1	100	0	16	FALSE	62	weighted_hamming	fastme_tree_rearrangement	0.257731958762887
3	50	0.1	100	0	16	FALSE	63	weighted_hamming	nj	0.0721649484536082
3	50	0.1	100	0	16	FALSE	63	weighted_hamming	upgma	0.103092783505155
3	50	0.1	100	0	16	FALSE	63	weighted_hamming	fastme	0.175257731958763
3	50	0.1	100	0	16	FALSE	63	weighted_hamming	fastme_tree_rearrangement	0.0824742268041237
4	50	0.1	100	0	16	FALSE	64	weighted_hamming	nj	0.329896907216495
4	50	0.1	100	0	16	FALSE	64	weighted_hamming	upgma	0.257731958762887
4	50	0.1	100	0	16	FALSE	64	weighted_hamming	fastme	0.371134020618557
4	50	0.1	100	0	16	FALSE	64	weighted_hamming	fastme_tree_rearrangement	0.298969072164948
5	50	0.1	100	0	16	FALSE	65	weighted_hamming	nj	0.175257731958763
5	50	0.1	100	0	16	FALSE	65	weighted_hamming	upgma	0.175257731958763
5	50	0.1	100	0	16	FALSE	65	weighted_hamming	fastme	0.268041237113402
5	50	0.1	100	0	16	FALSE	65	weighted_hamming	fastme_tree_rearrangement	0.216494845360825
1	100	0.1	100	0	16	FALSE	66	weighted_hamming	nj	0.309278350515464
1	100	0.1	100	0	16	FALSE	66	weighted_hamming	upgma	0.288659793814433
1	100	0.1	100	0	16	FALSE	66	weighted_hamming	fastme	0.268041237113402
1	100	0.1	100	0	16	FALSE	66	weighted_hamming	fastme_tree_rearrangement	0.257731958762887
2	100	0.1	100	0	16	FALSE	67	weighted_hamming	nj	0.164948453608247
2	100	0.1	100	0	16	FALSE	67	weighted_hamming	upgma	0.144329896907216
2	100	0.1	100	0	16	FALSE	67	weighted_hamming	fastme	0.154639175257732
2	100	0.1	100	0	16	FALSE	67	weighted_hamming	fastme_tree_rearrangement	0.185567010309278
3	100	0.1	100	0	16	FALSE	68	weighted_hamming	nj	0.0515463917525773
3	100	0.1	100	0	16	FALSE	68	weighted_hamming	upgma	0.0309278350515464
3	100	0.1	100	0	16	FALSE	68	weighted_hamming	fastme	0.103092783505155
3	100	0.1	100	0	16	FALSE	68	weighted_hamming	fastme_tree_rearrangement	0.0515463917525773
4	100	0.1	100	0	16	FALSE	69	weighted_hamming	nj	0.0927835051546392
4	100	0.1	100	0	16	FALSE	69	weighted_hamming	upgma	0.123711340206186
4	100	0.1	100	0	16	FALSE	69	weighted_hamming	fastme	0.175257731958763
4	100	0.1	100	0	16	FALSE	69	weighted_hamming	fastme_tree_rearrangement	0.0824742268041237
5	100	0.1	100	0	16	FALSE	70	weighted_hamming	nj	0.0824742268041237
5	100	0.1	100	0	16	FALSE	70	weighted_hamming	upgma	0.103092783505155
5	100	0.1	100	0	16	FALSE	70	weighted_hamming	fastme	0.134020618556701
5	100	0.1	100	0	16	FALSE	70	weighted_hamming	fastme_tree_rearrangement	0.0721649484536082
1	200	0.1	100	0	16	FALSE	71	weighted_hamming	nj	0.0515463917525773
1	200	0.1	100	0	16	FALSE	71	weighted_hamming	upgma	0.0721649484536082
1	200	0.1	100	0	16	FALSE	71	weighted_hamming	fastme	0.134020618556701
1	200	0.1	100	0	16	FALSE	71	weighted_hamming	fastme_tree_rearrangement	0.0721649484536082
2	200	0.1	100	0	16	FALSE	72	weighted_hamming	nj	0.0618556701030928
2	200	0.1	100	0	16	FALSE	72	weighted_hamming	upgma	0.0824742268041237
2	200	0.1	100	0	16	FALSE	72	weighted_hamming	fastme	0.11340206185567
2	200	0.1	100	0	16	FALSE	72	weighted_hamming	fastme_tree_rearrangement	0.0721649484536082
3	200	0.1	100	0	16	FALSE	73	weighted_hamming	nj	0
3	200	0.1	100	0	16	FALSE	73	weighted_hamming	upgma	0.0103092783505155
3	200	0.1	100	0	16	FALSE	73	weighted_hamming	fastme	0
3	200	0.1	100	0	16	FALSE	73	weighted_hamming	fastme_tree_rearrangement	0.0103092783505155
4	200	0.1	100	0	16	FALSE	74	weighted_hamming	nj	0.0309278350515464
4	200	0.1	100	0	16	FALSE	74	weighted_hamming	upgma	0.0721649484536082
4	200	0.1	100	0	16	FALSE	74	weighted_hamming	fastme	0.0618556701030928
4	200	0.1	100	0	16	FALSE	74	weighted_hamming	fastme_tree_rearrangement	0.0309278350515464
5	200	0.1	100	0	16	FALSE	75	weighted_hamming	nj	0
5	200	0.1	100	0	16	FALSE	75	weighted_hamming	upgma	0
5	200	0.1	100	0	16	FALSE	75	weighted_hamming	fastme	0.0412371134020619
5	200	0.1	100	0	16	FALSE	75	weighted_hamming	fastme_tree_rearrangement	0
1	50	0.02	100	0.05	16	FALSE	76	weighted_hamming	nj	0.587628865979381
1	50	0.02	100	0.05	16	FALSE	76	weighted_hamming	upgma	0.711340206185567
1	50	0.02	100	0.05	16	FALSE	76	weighted_hamming	fastme	0.752577319587629
1	50	0.02	100	0.05	16	FALSE	76	weighted_hamming	fastme_tree_rearrangement	0.680412371134021
2	50	0.02	100	0.05	16	FALSE	77	weighted_hamming	nj	0.690721649484536
2	50	0.02	100	0.05	16	FALSE	77	weighted_hamming	upgma	0.804123711340206
2	50	0.02	100	0.05	16	FALSE	77	weighted_hamming	fastme	0.731958762886598
2	50	0.02	100	0.05	16	FALSE	77	weighted_hamming	fastme_tree_rearrangement	0.701030927835051
3	50	0.02	100	0.05	16	FALSE	78	weighted_hamming	nj	0.484536082474227
3	50	0.02	100	0.05	16	FALSE	78	weighted_hamming	upgma	0.721649484536082
3	50	0.02	100	0.05	16	FALSE	78	weighted_hamming	fastme	0.391752577319588
3	50	0.02	100	0.05	16	FALSE	78	weighted_hamming	fastme_tree_rearrangement	0.443298969072165
4	50	0.02	100	0.05	16	FALSE	79	weighted_hamming	nj	0.45360824742268
4	50	0.02	100	0.05	16	FALSE	79	weighted_hamming	upgma	0.577319587628866
4	50	0.02	100	0.05	16	FALSE	79	weighted_hamming	fastme	0.54639175257732
4	50	0.02	100	0.05	16	FALSE	79	weighted_hamming	fastme_tree_rearrangement	0.484536082474227
5	50	0.02	100	0.05	16	FALSE	80	weighted_hamming	nj	0.391752577319588
5	50	0.02	100	0.05	16	FALSE	80	weighted_hamming	upgma	0.515463917525773
5	50	0.02	100	0.05	16	FALSE	80	weighted_hamming	fastme	0.494845360824742
5	50	0.02	100	0.05	16	FALSE	80	weighted_hamming	fastme_tree_rearrangement	0.412371134020619
